"Base Model","Name","product_type","active","purchase_ok","sale_ok","cost","list_price","website_published","product_public_category","images","description_sale"
"MRTR2B/A","Mac mini: 3.6GHz quad-core 8th-generation Intel? Core i3 processor, 128GB","Storable Product","TRUE","TRUE","TRUE",542.64,665.83,"TRUE","Mac Mini","https://www.albion.co.uk/wp-content/uploads/Mac-mini-1.jpg, https://www.albion.co.uk/wp-content/uploads/Mac-mini-2.jpg","Eighth-generation 6-core and quad-core processors. Faster 2666MHz DDR4 memory. A variety of ports, including Thunderbolt 3, HDMI 2.0 and available 10Gb Ethernet. And super-fast all-flash storage so you can load giant files and launch apps faster than ever. The re-engineered Mac mini is the best performing yet. Ready for the desktop. And beyond."
"MRTT2B/A","Mac mini: 3.0GHz 6-core 8th-generation Intel Core i5 processor, 256GB","Storable Product","TRUE","TRUE","TRUE",745.92,915.83,"TRUE","Mac Mini","https://www.albion.co.uk/wp-content/uploads/Mac-mini-1.jpg, https://www.albion.co.uk/wp-content/uploads/Mac-mini-2.jpg","Eighth-generation 6-core and quad-core processors. Faster 2666MHz DDR4 memory. A variety of ports, including Thunderbolt 3, HDMI 2.0 and available 10Gb Ethernet. And super-fast all-flash storage so you can load giant files and launch apps faster than ever. The re-engineered Mac mini is the best performing yet. Ready for the desktop. And beyond."
"MMQA2B/A","21.5-inch iMac","Storable Product","TRUE","TRUE","TRUE",712.32,874.17,"TRUE","iMac","https://www.albion.co.uk/wp-content/uploads/imac-gallery1-201706_GEO_US-7.jpeg, https://www.albion.co.uk/wp-content/uploads/imac-gallery3-201706-9.jpeg, https://www.albion.co.uk/wp-content/uploads/2019/11/AppleTV_PDP_Mac_4000x4000px.jpg","The 21.5-inch iMac features a brilliant widescreen display, a powerful seventh-generation Intel Core
processor, super-fast graphics and more. All in a stunningly thin enclosure that???s only 5mm at the
edge."
"MRQY2B/A","27-inch iMac with Retina 5K display: 3.0GHz 6-core 8th-generation Intel Core i5 processor, 1TB","Storable Product","TRUE","TRUE","TRUE",1187.76,1457.5,"TRUE","iMac","https://www.albion.co.uk/wp-content/uploads/imac-gallery1-201706_GEO_US-8.jpeg, https://www.albion.co.uk/wp-content/uploads/imac-gallery3-201706-8.jpeg","iMac performance is at an all-time high with eighth- and ninth-generation Intel Core processors,
powerful AMD Radeon Pro 500X series graphics, Thunderbolt 3 (USB-C) connectivity, and stunning
Retina 4K and 5K displays with 1 billion colours and 500 nits of brightness for vibrant images and razorsharp
text."
"MRR02B/A","27-inch iMac with Retina 5K display: 3.1GHz 6-core 8th-generation Intel Core i5 processor, 1TB","Storable Product","TRUE","TRUE","TRUE",1323,1624.17,"TRUE","iMac","https://www.albion.co.uk/wp-content/uploads/imac-gallery1-201706_GEO_US-9.jpeg, https://www.albion.co.uk/wp-content/uploads/imac-gallery3-201706-9.jpeg","iMac performance is at an all-time high with eighth- and ninth-generation Intel Core processors,
powerful AMD Radeon Pro 500X series graphics, Thunderbolt 3 (USB-C) connectivity, and stunning
Retina 4K and 5K displays with 1 billion colours and 500 nits of brightness for vibrant images and razorsharp
text."
"MRR12B/A","27-inch iMac with Retina 5K display: 3.7GHz 6-core 9th-generation Intel Core i5 processor, 2TB","Storable Product","TRUE","TRUE","TRUE",1527.12,1874.17,"TRUE","iMac","https://www.albion.co.uk/wp-content/uploads/imac-gallery1-201706_GEO_US-10.jpeg, https://www.albion.co.uk/wp-content/uploads/imac-gallery3-201706-10.jpeg","iMac performance is at an all-time high with eighth- and ninth-generation Intel Core processors,
powerful AMD Radeon Pro 500X series graphics, Thunderbolt 3 (USB-C) connectivity, and stunning
Retina 4K and 5K displays with 1 billion colours and 500 nits of brightness for vibrant images and razorsharp
text."
"MRT32B/A","21.5-inch iMac with Retina 4K display: 3.6GHz quad-core 8th-generation Intel Core i3 processor, 1TB","Storable Product","TRUE","TRUE","TRUE",848.4,1040.83,"TRUE","iMac","https://www.albion.co.uk/wp-content/uploads/imac-gallery1-201706_GEO_US-6.jpeg, https://www.albion.co.uk/wp-content/uploads/imac-gallery3-201706-6.jpeg","iMac performance is at an all-time high with eighth- and ninth-generation Intel Core processors,
powerful AMD Radeon Pro 500X series graphics, Thunderbolt 3 (USB-C) connectivity, and stunning
Retina 4K and 5K displays with 1 billion colours and 500 nits of brightness for vibrant images and razorsharp
text."
"MRT42B/A","21.5-inch iMac with Retina 4K display: 3.0GHz 6-core 8th-generation Intel Core i5 processor, 1TB","Storable Product","TRUE","TRUE","TRUE",983.64,1207.5,"TRUE","iMac","https://www.albion.co.uk/wp-content/uploads/imac-gallery1-201706_GEO_US-7.jpeg, https://www.albion.co.uk/wp-content/uploads/imac-gallery3-201706-7.jpeg","iMac performance is at an all-time high with eighth- and ninth-generation Intel Core processors,
powerful AMD Radeon Pro 500X series graphics, Thunderbolt 3 (USB-C) connectivity, and stunning
Retina 4K and 5K displays with 1 billion colours and 500 nits of brightness for vibrant images and razorsharp
text."
"MQ2Y2B/A","27-inch iMac Pro with Retina 5K display","Storable Product","TRUE","TRUE","TRUE",3326.4,4082.5,"TRUE","iMac Pro","https://www.albion.co.uk/wp-content/uploads/imacpro-27-retina-selection-hero.jpeg","Now everyone from video editors and 3D animators to musicians and software developers can turn big ideas into amazing work. iMac Pro is powered by an Intel Xeon W processor with up to 18 cores for incredible performance. Its AMD Radeon Pro Vega graphics chip lets you build and render amazingly lifelike special effects and VR worlds. And with up to 256GB of memory and 4TB of flash storage, saving and loading projects happens almost instantly. iMac Pro. The most powerful all-in-one Mac ever."
